Purchase ID,Name,Day of purchase,Item 1,Item 2,Item 3
32-9842871,Jenan,Saturday,4,4,3
32-7281683,Bel,Thursday,0,3,5
18-5587912,Jannelle,Sunday,0,2,4
76-6713648,Jo-anne,Saturday,0,3,2
02-7819637,Ola,Thursday,0,0,2
99-1711438,Angie,Thursday,1,2,2
62-3103838,Marga,Wednesday,0,5,4
08-9452186,Buckie,Tuesday,5,3,4
29-1397295,Aloisia,Tuesday,2,4,0
31-3981821,Seward,Wednesday,5,5,3
75-7765891,Wileen,Saturday,2,3,1
67-8474295,Kristin,Friday,5,2,2
66-9558901,Rhonda,Monday,2,4,4
76-1165712,Halli,Friday,1,0,5
63-5719532,Vinson,Saturday,5,4,4
42-9884112,Gian,Saturday,0,0,1
20-3352475,Tamma,Tuesday,5,0,2
29-7582017,Nevile,Wednesday,1,0,4
60-9711826,Gusella,Monday,5,0,4
45-1301318,Claudell,Monday,5,1,2
93-3149572,Cirstoforo,Thursday,5,5,2
93-3935642,Cleavland,Thursday,0,1,5
22-3058669,Dulsea,Sunday,5,5,3
27-9961456,Korry,Thursday,3,1,4
45-0257847,Carolus,Wednesday,4,0,3
20-2414712,Chilton,Wednesday,5,3,1
57-8168435,Minerva,Sunday,2,0,2
26-4223212,Karen,Thursday,1,1,2
50-6512447,Brett,Sunday,0,5,1
66-1596806,Martie,Tuesday,3,1,4
33-4831937,Jessalin,Saturday,0,5,3
09-5664863,Adolph,Tuesday,4,1,1
65-6839188,Tobe,Sunday,2,0,1
76-3802789,Bailie,Sunday,3,0,1
11-2912056,Alaster,Friday,2,2,1
83-0033058,Modestia,Sunday,4,1,0
63-1272197,Normy,Thursday,1,5,0
20-2559536,Walt,Wednesday,2,2,2
64-5281289,Noak,Sunday,4,4,1
81-4093300,Jackqueline,Wednesday,1,1,2
11-8909880,Ree,Wednesday,4,0,1
20-5384747,Pyotr,Thursday,4,3,4
16-7402278,Alaric,Monday,1,4,0
36-6110142,Kirstin,Tuesday,0,3,3
10-4533992,Ring,Thursday,1,0,0
96-3610220,Sergei,Tuesday,3,5,4
53-6215033,Wakefield,Friday,0,4,1
71-0429085,Cammy,Wednesday,0,0,1
56-1246442,Wally,Tuesday,2,0,4
45-8497338,Genevieve,Saturday,5,0,0
14-3260544,Darrel,Thursday,5,2,4
17-5081247,Vicki,Saturday,4,5,2
44-0946669,Joni,Saturday,1,0,5
51-0278805,Adolphe,Tuesday,2,3,4
45-3373993,Zollie,Monday,1,2,4
73-3583267,Gregorius,Saturday,1,3,2
97-0455816,Felita,Wednesday,5,0,5
64-7095228,Wendell,Thursday,1,0,4
75-3771767,Lari,Wednesday,2,1,3
41-1311630,Ike,Monday,1,4,4
62-2319142,Monty,Thursday,3,1,1
73-2929445,Dasya,Thursday,2,3,5
48-1247943,Jervis,Friday,5,3,2
02-7240536,Nadya,Sunday,2,0,0
11-6520080,Moshe,Thursday,3,5,5
43-0561761,Bax,Saturday,1,2,2
50-7803780,Gennie,Monday,2,4,3
33-5564797,Clotilda,Sunday,0,1,4
86-8705165,Helga,Tuesday,2,2,1
20-3226986,Wilton,Friday,2,2,2
93-9994238,Karoly,Wednesday,3,1,1
12-0071163,Ibrahim,Sunday,2,5,4
98-1934688,Betta,Wednesday,5,1,5
09-3581577,Minor,Tuesday,5,3,1
48-7868785,Darleen,Saturday,2,5,2
45-7450499,Jackson,Monday,0,1,3
24-3450038,Betti,Tuesday,0,1,4
52-2816300,Kara-lynn,Tuesday,0,0,3
72-7446302,Charla,Thursday,2,3,5
71-9471081,Teodoro,Tuesday,1,3,1
43-9524666,Filip,Friday,1,3,2
95-2907941,Jermaine,Sunday,1,2,0
67-6238753,Gus,Thursday,2,1,3
62-2744633,Eba,Monday,5,5,1
53-5429318,Monah,Tuesday,5,4,3
42-1662803,Jeannie,Monday,3,1,4
79-9558210,Shelba,Wednesday,0,3,3
79-1538120,Lizette,Tuesday,2,1,0
74-1177502,Pail,Thursday,5,5,3
90-1376178,Flinn,Sunday,4,0,4
01-3731251,Willy,Monday,5,4,1
13-4490238,Kori,Saturday,5,2,1
40-5127025,Bianca,Tuesday,0,0,5
00-5134180,Jeth,Sunday,5,0,2
41-0482787,Jaynell,Saturday,1,3,3
41-5164020,Gavin,Wednesday,1,0,4
20-0393664,Tracee,Thursday,1,1,4
25-1849449,Steffen,Monday,5,1,3
56-6732409,Micki,Wednesday,2,5,2
19-7397288,Josi,Sunday,5,1,3
53-4213472,Christina,Wednesday,1,2,3
45-1802461,Kerry,Monday,2,4,2
41-5147309,Pavlov,Wednesday,0,0,0
00-8871533,Ingar,Thursday,4,5,0
27-6350642,Rusty,Monday,4,2,4
85-5697399,Jennee,Thursday,1,5,3
08-9349918,Ddene,Sunday,3,5,4
34-1868193,Gwyneth,Thursday,4,0,3
41-2477963,Lorelle,Tuesday,5,2,2
59-6929730,Alano,Monday,2,5,5
79-8400041,Lyon,Sunday,4,1,4
01-5156554,Stanwood,Thursday,4,3,4
59-9131213,Jamie,Thursday,5,2,5
91-6515798,Hillard,Sunday,0,2,0
90-7100167,Estrellita,Sunday,5,4,0
18-9723435,Harvey,Monday,1,4,1
20-8980545,Lynn,Thursday,1,4,0
54-2816480,Ellery,Friday,0,2,4
44-4581387,Dorie,Tuesday,5,0,1
62-5850661,Rockey,Friday,2,2,5
55-5336925,Johannah,Saturday,2,4,2
31-6097612,Bronson,Wednesday,3,3,3
84-6587611,Farlie,Thursday,2,4,2
98-0598535,Julina,Wednesday,0,3,0
